horizon,x,empirical_density,analytical_chi_squared_density,abs_diff
100,90.992956470644,0.02507912570551579,0.024940601858142446,0.00013852384737334314
100,92.54324974866881,0.026156341238648562,0.02628915074662518,0.00013280950797661673
100,94.09354302669362,0.027217430790746636,0.02733212271631123,0.00011469192556459382
100,95.64383630471843,0.028123710924909423,0.028040939973900603,8.277095100881968e-05
100,97.19412958274324,0.02792697395628334,0.028400107177852667,0.00047313322156932597
100,98.74442286076805,0.028439780153193955,0.0284074714780214,3.230867517255501e-05
100,100.29471613879286,0.02807533298180465,0.028073662878610153,1.6701031944968414e-06
100,101.84500941681767,0.027030369410741502,0.027420819496950164,0.00039045008620866226
100,103.39530269484248,0.026891685973841145,0.026480749965381106,0.00041093600846003886
100,104.9455959728673,0.025395194933800096,0.025292713500703206,0.0001024814330968897
100,106.4958892508921,0.02389547869755206,0.023901006820733102,5.5281231810429265e-06
100,108.04618252891692,0.022089368821640646,0.022352538074725693,0.00026316925308504657
100,109.59647580694171,0.020834767497123267,0.020694544809304105,0.0001402226878191616
100,111.14676908496652,0.018883523791897325,0.018972580144687837,8.905635279051263e-05
100,112.69706236299133,0.016932280086671386,0.017228853445689852,0.0002965733590184656
100,114.24735564101614,0.015519644148011944,0.015500973162323664,1.8670985688279407e-05
100,115.79764891904095,0.013697408291065406,0.013821103767485006,0.0001236954764196
100,117.34794219706575,0.012475058928618193,0.012215518438855379,0.00025954048976281445
100,118.89823547509056,0.010768930135123,0.0107045058754675,6.442425965550065e-05
100,120.44852875311537,0.00944659969025914,0.009302573978026092,0.0001440257122330476
100,121.99882203114018,0.007843677175387583,0.008018884801878587,0.0001752076264910033
100,123.54911530916499,0.007240565484681384,0.006857853344406998,0.0003827121402743853
100,125.0994085871898,0.005692471305328571,0.0058198461004094915,0.00012737479508092078
100,126.64970186521461,0.0050796840260014155,0.0049019224826513195,0.00017776154335009606
100,128.19999514323942,0.004099224379077968,0.004098571738407195,6.526406707728014e-07
100,129.75028842126423,0.0033026009159526667,0.003402408612435766,9.980769648309943e-05
100,131.300581699289,0.002718840402488427,0.0028048016506084716,8.596124812004476e-05
100,132.85087497731382,0.0021963586169568027,0.002296417906780927,0.00010005928982412433
100,134.40116825533863,0.0018351366417744797,0.0018676763748108856,3.253973303640593e-05
100,135.95146153336344,0.0015738957490086926,0.0015091094271823243,6.478632182636834e-05
100,137.50175481138825,0.001248150932103205,0.0012116368137853205,3.651411831788443e-05
100,139.05204808941306,0.0009482076848535976,0.0009667604266205826,1.8552741766984988e-05
100,140.60234136743787,0.00062891326036208,0.0007666902426817211,0.00013777698231964104
100,142.15263464546268,0.0005837605134642896,0.000604412854339795,2.0652340875505358e-05
100,143.7029279234875,0.00045797786139187367,0.00047371404551407366,1.573618412219999e-05
100,145.2532212015123,0.00039024874104518815,0.0003691662306161702,2.1082510429017967e-05
100,146.8035144795371,0.00027091648138674216,0.00028609047640867577,1.5173995021933607e-05
100,148.35380775756192,0.00020318736104005662,0.00022050147429275615,1.7314113252699527e-05
100,149.90410103558673,0.00015803461414226627,0.00016904238176292956,1.1007767620663293e-05
100,151.45439431361154,0.00013545824069337108,0.00012891502607868983,6.543214614681246e-06
100,153.00468759163635,7.740470896764062e-05,9.780964265881146e-05,2.0404933691170837e-05
100,154.55498086966116,5.8053531725730464e-05,7.383715542099102e-05,1.578362369526056e-05
100,156.10527414768598,5.4828335518745434e-05,5.5466020633209605e-05,6.376851144641714e-07
100,157.65556742571079,5.160313931176042e-05,4.1464854699937054e-05,1.0138284611823364e-05
100,159.2058607037356,4.1927550690805335e-05,3.0851440886677054e-05,1.107610980412828e-05
100,160.7561539817604,1.612598103492513e-05,2.2848242812701117e-05,6.722261777775988e-06
100,162.30644725978522,1.612598103492513e-05,1.684422147909904e-05,7.182404441739119e-07
100,163.85674053781003,9.675588620955078e-06,1.2362533913885178e-05,2.6869452929301e-06
100,165.40703381583484,2.2576373448895182e-05,9.033562038940885e-06,1.3542811409954297e-05
100,166.95732709385965,6.45039241397017e-06,6.572658890154169e-06,1.2226647618399887e-07
100,168.50762037188443,6.450392413970052e-06,4.761987392739468e-06,1.6884050212305845e-06
100,170.05791364990924,3.225196206985026e-06,3.435849112129965e-06,2.1065290514493888e-07
100,171.60820692793405,0.0,2.4689444209454526e-06,2.4689444209454526e-06
100,173.15850020595886,3.225196206985026e-06,1.7670618230029473e-06,1.4581343839820788e-06
