horizon,bin_centre,empirical_density,analytical_density_N_0_n,abs_diff
100,-36.92795775878617,4.305795087642792e-05,4.3624399290917185e-05,5.664484144892639e-07
100,-35.76673203897673,6.889272140228551e-05,6.653255175864719e-05,2.3601696436383274e-06
100,-34.60550631916729,9.903328701578482e-05,0.00010011120255902887,1.077915543244045e-06
100,-33.44428059935784,0.00012917385262928456,0.00014861921157199797,1.9445358942713403e-05
100,-32.2830548795484,0.00019376077894392682,0.00021767622883787853,2.3915449893951714e-05
100,-31.121829159738954,0.00030140565613499733,0.00031455082868609476,1.314517255109743e-05
100,-29.96060343992951,0.0004607200743777816,0.00044845042458277874,1.226964979500288e-05
100,-28.799377720120066,0.0006975388041981365,0.0006307856755436591,6.675312865447739e-05
100,-27.638152000310622,0.0008912995831420635,0.0008753726678539834,1.592691528808012e-05
100,-26.47692628050118,0.00128312693611756,0.0011985272680736076,8.45996680439525e-05
100,-25.315700560691734,0.001662036903830128,0.0016189991964822123,4.3037707347915594e-05
100,-24.15447484088229,0.002088310617506767,0.0021576903745781696,6.937975707140259e-05
100,-22.99324912107285,0.0027901552167925547,0.0028371048893414707,4.694967254891599e-05
100,-21.832023401263406,0.0036383968490581817,0.00368048826400921,4.209141495102814e-05
100,-20.670797681453962,0.004732068801319458,0.0047106328819647636,2.143591935469414e-05
100,-19.509571961644518,0.006010889942349374,0.00594835471094698,6.253523140239362e-05
100,-18.348346241835074,0.007440413911446791,0.00741068296985491,2.9730941591881235e-05
100,-17.18712052202563,0.00930482318439613,0.009108846585943282,0.00019597659845284852
100,-16.025894802216186,0.011238125178747758,0.01104618513522793,0.00019194004351982819
100,-14.864669082406744,0.013296295230641065,0.013216152002814863,8.014322782620188e-05
100,-13.703443362597302,0.015419052208848934,0.015600607453493138,0.0001815552446442041
100,-12.542217642787858,0.01811447993371334,0.018168612834868755,5.413290115541605e-05
100,-11.380991922978414,0.02040946871542696,0.020875928880761226,0.0004664601653342655
100,-10.21976620316897,0.02349672379326686,0.023665387711320787,0.00016866391805392747
100,-9.058540483359526,0.02699733519952047,0.026468249281834447,0.000529085917686023
100,-7.8973147635500816,0.028878967652820383,0.029206571940629325,0.00032760428780894205
100,-6.7360890437406375,0.03141938675452965,0.03179653033138646,0.0003771435768568157
100,-5.5748633239311935,0.03402439278255355,0.03415251221298222,0.00012811943042866786
100,-4.4136376041217495,0.036607869835139244,0.03619173103461843,0.00041613880052081276
100,-3.2524118843123055,0.038033088009149014,0.03783901591827178,0.00019407209087723282
100,-2.0911861645028615,0.039092313600709146,0.03903139627318264,6.0917327526506526e-05
100,-0.9299604446934175,0.039484140953684646,0.03972209256282852,0.00023795160914387437
100,0.2312652751160229,0.040086952265954885,0.039883561026328916,0.00020339123962596906
100,1.3924909949254634,0.04023765509402214,0.039509316186805005,0.0007283389072171367
100,2.5537167147349074,0.03830004730458287,0.03861436306884607,0.00031431576426320385
100,3.7149424345443514,0.03709873047513052,0.037234198978052954,0.00013546850292243257
100,4.876168154353795,0.034833882259030405,0.03542247739972617,0.0005885951406957649
100,6.037393874163239,0.03337852351940713,0.03324754829267112,0.00013097522673601036
100,7.198619593972683,0.030119036638061515,0.030788185615799196,0.0006691489777376804
100,8.359845313782127,0.028332131676689746,0.02812887375163263,0.00020325792505711607
