k,z,p_path_count,smooth_bell
333,7.423745685299301,2.3987533762234022e-14,3.8462394320838186e-14
334,7.513188404399293,1.1993766881117011e-14,1.972093955970297e-14
335,7.602631123499284,5.943180006762459e-15,1.0031006973087372e-14
336,7.692073842599276,2.9185258961779934e-15,5.061591669647466e-15
337,7.781516561699267,1.420291534045077e-15,2.5337007805366944e-15
338,7.870959280799259,6.84933491270259e-16,1.2581985718193378e-15
339,7.960401999899251,3.273133498105662e-16,6.198244371400794e-16
340,8.049844718999243,1.5499249799853285e-16,3.0291016367826878e-16
341,8.139287438099235,7.272375272658432e-17,1.4685361466800545e-16
342,8.228730157199225,3.3810165741306745e-17,7.062867842732512e-17
343,8.318172876299217,1.5574362061593196e-17,3.369792531253679e-17
344,8.407615595399209,7.108066406017825e-18,1.594964021681598e-17
345,8.497058314499201,3.214082200981973e-18,7.489007449834495e-18
346,8.586501033599191,1.4398345120005948e-18,3.4883759080287686e-18
347,8.675943752699183,6.390043655564599e-19,1.6119365335089487e-18
348,8.765386471799175,2.8094157451189185e-19,7.389213968030052e-19
349,8.854829190899167,1.223585080968698e-19,3.360270124805593e-19
350,8.94427190999916,5.2788956350363835e-20,1.5159182561651832e-19
351,9.03371462909915,2.255938305571104e-20,6.784268377197193e-20
352,9.123157348199141,9.54928430483223e-21,3.012006470046351e-20
353,9.212600067299133,4.0036659408361754e-21,1.3265829929852789e-20
354,9.302042786399126,1.662539246618412e-21,5.796136361549854e-21
355,9.391485505499116,6.837485352289806e-22,2.5122821195029863e-21
356,9.480928224599108,2.784930831691073e-22,1.0802489793686533e-21
357,9.5703709436991,1.123333444715727e-22,4.607920377302999e-22
358,9.659813662799092,4.487058173026507e-23,1.949897182013911e-22
359,9.749256381899082,1.7748252383558885e-23,8.185479050835579e-23
360,9.838699100999074,6.95139885022723e-24,3.4088048193773595e-23
361,9.928141820099066,2.6958333491185935e-24,1.408269628627423e-23
362,10.017584539199058,1.035140429633935e-24,5.771585522307629e-24
363,10.107027258299048,3.9352446085257035e-25,2.3465515619684177e-24
364,10.19646997739904,1.4811222839780807e-25,9.464348246772335e-25
365,10.285912696499032,5.51870220879504e-26,3.7868400938006507e-25
366,10.375355415599024,2.0355868802932527e-26,1.5031034283319137e-25
367,10.464798134699015,7.43238806428599e-27,5.918701099709252e-26
368,10.554240853799007,2.6861619906250997e-27,2.3120093987135124e-26
369,10.643683572898999,9.60903476321174e-28,8.959389683476299e-27
370,10.73312629199899,3.4021177134614534e-28,3.44423599929286e-27
371,10.822569011098981,1.1921167190026656e-28,1.313508904036476e-27
372,10.912011730198973,4.1339531384769856e-29,4.969340832204912e-28
373,11.001454449298965,1.4186219885390193e-29,1.8650487683019462e-28
374,11.090897168398957,4.817245789958702e-30,6.943960541619939e-29
375,11.180339887498947,1.618594585426124e-30,2.5647789484602796e-29
376,11.26978260659894,5.380966041975145e-31,9.397628666840035e-30
377,11.359225325698931,1.7698668148671567e-31,3.4159559750097155e-30
378,11.448668044798923,5.759090429329637e-32,1.231776440442485e-30
379,11.538110763898914,1.8538496896522842e-32,4.406331487214276e-31
380,11.627553482998906,5.903047695998063e-33,1.563680724533188e-31
381,11.716996202098898,1.8592276207867913e-33,5.504839277149679e-32
382,11.80643892119889,5.791834734911732e-34,1.9225022138676436e-32
383,11.89588164029888,1.7844295005733275e-34,6.660620623668519e-33
384,11.985324359398872,5.436933634559357e-35,2.2892234767703642e-33
385,12.074767078498864,1.638141043139962e-35,7.805259176932836e-34
386,12.164209797598856,4.8804720197175035e-36,2.6400497454171376e-34
387,12.253652516698846,1.437658424412908e-36,8.85854786151911e-35
388,12.343095235798838,4.186994895841717e-37,2.948754426655146e-35
389,12.43253795489883,1.205510098545687e-37,9.737339670782161e-36
390,12.521980673998822,3.4310672035531094e-38,3.1898310274098206e-36
391,12.611423393098812,9.652618731223581e-39,1.0366226179842403e-36
392,12.700866112198804,2.6840189839371695e-39,3.3419452208937005e-37
393,12.790308831298796,7.375930032193747e-40,1.0688176515098943e-37
394,12.879751550398788,2.003107902143987e-40,3.391044994712531e-38
395,12.969194269498779,5.375428800690194e-41,1.0673064432883635e-38
396,13.05863698859877,1.4253030910920969e-41,3.332501505761306e-39
397,13.148079707698763,3.733791472886098e-42,1.0322317697257597e-39
398,13.237522426798755,9.662827178574574e-43,3.171828761453426e-40
399,13.326965145898747,2.4701964215904926e-43,9.6686956188565e-41
400,13.416407864998737,6.237245964515994e-44,2.923827106104387e-41
401,13.505850584098729,1.5554229337945122e-44,8.771242775209787e-42
402,13.595293303198721,3.830519165314843e-45,2.610334838956826e-42
403,13.684736022298713,9.314910129053466e-46,7.706495902327944e-43
404,13.774178741398703,2.236500699302441e-46,2.2570611633907934e-43
405,13.863621460498695,5.30133499093912e-47,6.557757433639064e-44
406,13.953064179598687,1.2404601579783655e-47,1.890135821812187e-44
407,14.04250689869868,2.86494483660851e-48,5.404509960514073e-45
408,14.13194961779867,6.530388965798809e-49,1.5330110115579674e-45
409,14.221392336898662,1.4689383492750377e-49,4.313798661273402e-46
410,14.310835055998654,3.2603265800982545e-50,1.2042041301988272e-46
411,14.400277775098646,7.139401270288148e-51,3.334770858343935e-47
412,14.489720494198636,1.5422493035331195e-51,9.161308903366592e-48
413,14.579163213298628,3.286148637068148e-52,2.4967479419729683e-48
