horizon,k,p_empirical,p_markov_DP,p_iid_path_count,abs_diff_emp_vs_markov,abs_diff_emp_vs_iid
500,281,0.00422,0.004502547519421989,0.0007618429884466999,0.0002825475194219891,0.0034581570115533
500,282,0.00414,0.00404038980874933,0.0005916440229425926,9.961019125066979e-05,0.0035483559770574068
500,283,0.00363,0.003613029453251756,0.00045575405300888266,1.6970546748244168e-05,0.0031742459469911175
500,284,0.00325,0.0032195914444446564,0.00034823461092568303,3.040855555534348e-05,0.0029017653890743168
500,285,0.00285,0.002858964318048599,0.0002639251788068719,8.964318048598936e-06,0.002586074821193128
500,286,0.00233,0.0025298397823141534,0.00019840529176037527,0.0001998397823141534,0.0021315947082396246
500,287,0.00223,0.002230751228590889,0.00014793983427430823,7.512285908886293e-07,0.002082060165725692
500,288,0.00203,0.0019601105056872258,0.00010941383576536595,6.988949431277437e-05,0.001920586164234634
500,289,0.00168,0.0017162424464746105,8.026205253375703e-05,3.624244647461045e-05,0.001599737947466243
500,290,0.00171,0.0014974167432506213,5.8397562360789585e-05,0.00021258325674937861,0.0016516024376392103
500,291,0.00158,0.0013018768743741373,4.214257077581164e-05,0.0002781231256258627,0.0015378574292241884
500,292,0.00116,0.0011278658858336478,3.0163689356667577e-05,3.213411416635222e-05,0.0011298363106433324
500,293,0.0008,0.0009736489253962123,2.141313101087125e-05,0.00017364892539621223,0.0007785868689891288
500,294,0.00097,0.0008375325119997306,1.5076592242347468e-05,0.00013246748800026947,0.0009549234077576526
500,295,0.00065,0.0007178805977891636,1.0528061023472411e-05,6.788059778916364e-05,0.0006394719389765276
500,296,0.00059,0.0006131275438392165,7.291393614228612e-06,2.3127543839216455e-05,0.0005827086063857714
500,297,0.00052,0.0005217881827869486,5.008229957248302e-06,1.7881827869486262e-06,0.0005149917700427517
500,298,0.00043,0.0004424651823611178,3.411646581615665e-06,1.2465182361117821e-05,0.00042658835341838434
500,299,0.00039,0.0003738539535370264,2.30485822570622e-06,1.6146046462973582e-05,0.00038769514177429377
500,300,0.00036,0.0003147453664541682,1.544255011223486e-06,4.525463354583184e-05,0.00035845574498877654
500,301,0.00022,0.00026402654722495984,1.0260830639359393e-06,4.402654722495983e-05,0.00021897391693606407
500,302,0.00034,0.00022068003041653136,6.761275818650022e-07,0.00011931996958346866,0.000339323872418135
500,303,0.00022,0.0001837815364879482,4.418259445849546e-07,3.621846351205182e-05,0.00021955817405541506
500,304,0.00011,0.00015249663204421152,2.8631483908964436e-07,4.249663204421152e-05,0.00010971368516091036
500,305,0.00015,0.000126076514656336,1.8399248675927598e-07,2.392348534366399e-05,0.0001498160075132407
500,306,0.00013,0.0001038531443807156,1.1725011411128418e-07,2.6146855619284384e-05,0.0001298827498858887
500,307,0.0001,8.523392210053912e-05,7.409290598564013e-08,1.476607789946089e-05,9.992590709401437e-05
500,308,5e-05,6.969609141383834e-05,4.642834693254791e-08,1.9696091413838334e-05,4.9953571653067454e-05
500,309,6e-05,5.678101689261762e-05,2.8848681589156612e-08,3.2189831073823827e-06,5.9971151318410844e-05
500,310,0.0,4.60884678898804e-05,1.777451026944807e-08,4.60884678898804e-05,1.777451026944807e-08
500,311,0.0,3.727101429552612e-05,1.0859025566543145e-08,3.727101429552612e-05,1.0859025566543145e-08
500,312,0.0,3.0028619223965565e-05,6.578063564349975e-09,3.0028619223965565e-05,6.578063564349975e-09
500,313,3e-05,2.4103493914897042e-05,3.951041374113872e-09,5.896506085102959e-06,2.9996048958625886e-05
500,314,4e-05,1.927526238610682e-05,2.3530087164312562e-09,2.0724737613893183e-05,3.999764699128357e-05
500,315,6e-05,1.535646773120633e-05,1.3893956230353553e-09,4.464353226879367e-05,5.999861060437697e-05
500,316,1e-05,1.2188438453587848e-05,8.134119944985953e-10,2.1884384535878474e-06,9.999186588005502e-06
500,317,0.0,9.63752184309916e-06,4.721381923903429e-10,9.63752184309916e-06,4.721381923903429e-10
500,318,1e-05,7.591682046339235e-06,2.717021673190033e-10,2.408317953660766e-06,9.999728297832681e-06
500,319,1e-05,5.957453021579294e-06,1.5501502963026798e-10,4.042546978420707e-06,9.999844984970371e-06
500,320,1e-05,4.657230839156735e-06,8.7680376134622e-11,5.342769160843266e-06,9.999912319623866e-06
500,321,1e-05,3.626885601293076e-06,4.91665660567953e-11,6.373114398706924e-06,9.999950833433944e-06
500,322,0.0,2.813670415022148e-06,2.7331724609211995e-11,2.813670415022148e-06,2.7331724609211995e-11
500,323,2e-05,2.1744031601868253e-06,1.5062064954922195e-11,1.7825596839813177e-05,1.9999984937935047e-05
500,324,0.0,1.6738960586986722e-06,8.228350299448902e-12,1.6738960586986722e-06,8.228350299448902e-12
500,325,1e-05,1.2836080897598484e-06,4.455968162162229e-12,8.716391910240152e-06,9.999995544031839e-06
500,326,0.0,9.804959415492053e-07,2.3920074490140304e-12,9.804959415492053e-07,2.3920074490140304e-12
500,327,0.0,7.460402932260749e-07,1.2728113031450003e-12,7.460402932260749e-07,1.2728113031450003e-12
500,328,0.0,5.654256508142238e-07,6.713303519636512e-13,5.654256508142238e-07,6.713303519636512e-13
500,329,0.0,4.2685360432758437e-07,3.5096905938532606e-13,4.2685360432758437e-07,3.5096905938532606e-13
500,330,0.0,3.209711376393601e-07,1.8186578531784428e-13,3.209711376393601e-07,1.8186578531784428e-13
500,331,1e-05,2.403974308517368e-07,9.340538822970128e-14,9.759602569148264e-06,9.999999906594613e-06
500,332,0.0,1.7933438718182667e-07,4.754671870727876e-14,1.7933438718182667e-07,4.754671870727876e-14
500,333,0.0,1.3324784695985625e-07,2.3987533762227014e-14,1.3324784695985625e-07,2.3987533762227014e-14
500,334,0.0,9.860808716850964e-08,1.1993766881116893e-14,9.860808716850964e-08,1.1993766881116893e-14
500,335,0.0,7.267972372201746e-08,5.943180006763386e-15,7.267972372201746e-08,5.943180006763386e-15
500,336,0.0,5.335252201594017e-08,2.918525896178518e-15,5.335252201594017e-08,2.918525896178518e-15
500,337,0.0,3.900587303495341e-08,1.4202915340446908e-15,3.900587303495341e-08,1.4202915340446908e-15
500,338,0.0,2.8400807024913312e-08,6.849334912701627e-16,2.8400807024913312e-08,6.849334912701627e-16
500,339,0.0,2.0594398248284316e-08,3.2731334981054985e-16,2.0594398248284316e-08,3.2731334981054985e-16
500,340,0.0,1.4872269573545585e-08,1.5499249799854155e-16,1.4872269573545585e-08,1.5499249799854155e-16
500,341,0.0,1.0695643605924067e-08,7.272375272659362e-17,1.0695643605924067e-08,7.272375272659362e-17
500,342,0.0,7.660018004683202e-09,3.3810165741309186e-17,7.660018004683202e-09,3.3810165741309186e-17
500,343,0.0,5.463077391692571e-09,1.557436206159455e-17,5.463077391692571e-09,1.557436206159455e-17
500,344,0.0,3.8799037476675e-09,7.10806640601666e-18,3.8799037476675e-09,7.10806640601666e-18
500,345,0.0,2.743922014303312e-09,3.2140822009822706e-18,2.743922014303312e-09,3.2140822009822706e-18
500,346,0.0,1.932327787728108e-09,1.4398345120001484e-18,1.932327787728108e-09,1.4398345120001484e-18
500,347,0.0,1.3549987566512145e-09,6.390043655564045e-19,1.3549987566512145e-09,6.390043655564045e-19
500,348,0.0,9.460993011967298e-10,2.8094157451187038e-19,9.460993011967298e-10,2.8094157451187038e-19
500,349,0.0,6.577559153852057e-10,1.2235850809687612e-19,6.577559153852057e-10,1.2235850809687612e-19
500,350,0.0,4.5531643489762774e-10,5.278895635035579e-20,4.5531643489762774e-10,5.278895635035579e-20
500,351,0.0,3.1381416113549083e-10,2.2559383055706766e-20,3.1381416113549083e-10,2.2559383055706766e-20
500,352,0.0,2.153437793081849e-10,9.5492843048319e-21,2.153437793081849e-10,9.5492843048319e-21
500,353,0.0,1.4712363607529268e-10,4.003665940835759e-21,1.4712363607529268e-10,4.003665940835759e-21
500,354,0.0,1.0007196847342268e-10,1.6625392466182788e-21,1.0007196847342268e-10,1.6625392466182788e-21
500,355,0.0,6.7765969832936e-11,6.83748535228995e-22,6.7765969832936e-11,6.83748535228995e-22
500,356,0.0,4.56845383431009e-11,2.784930831690869e-22,4.56845383431009e-11,2.784930831690869e-22
500,357,0.0,3.0660139507925883e-11,1.1233334447154135e-22,3.0660139507925883e-11,1.1233334447154135e-22
500,358,0.0,2.0484012880274783e-11,4.487058173026561e-23,2.0484012880274783e-11,4.487058173026561e-23
500,359,0.0,1.3623242533874508e-11,1.7748252383558696e-23,1.3623242533874508e-11,1.7748252383558696e-23
500,360,0.0,9.019007671674432e-12,6.951398850228626e-24,9.019007671674432e-12,6.951398850228626e-24
500,361,0.0,5.943440272232605e-12,2.6958333491177504e-24,5.943440272232605e-12,2.6958333491177504e-24
500,362,0.0,3.898573752350718e-12,1.0351404296340438e-24,3.898573752350718e-12,1.0351404296340438e-24
500,363,0.0,2.5453640281856836e-12,3.935244608525298e-25,2.5453640281856836e-12,3.935244608525298e-25
500,364,0.0,1.6540845084896448e-12,1.4811222839783034e-25,1.6540845084896448e-12,1.4811222839783034e-25
500,365,0.0,1.0698335946869258e-12,5.518702208794912e-26,1.0698335946869258e-12,5.518702208794912e-26
500,366,0.0,6.886718980334709e-13,2.0355868802936548e-26,6.886718980334709e-13,2.0355868802936548e-26
500,367,0.0,4.411971246451931e-13,7.432388064285182e-27,4.411971246451931e-13,7.432388064285182e-27
500,368,0.0,2.8129595747407263e-13,2.6861619906246638e-27,2.8129595747407263e-13,2.6861619906246638e-27
500,369,0.0,1.7848053814376048e-13,9.609034763208199e-28,1.7848053814376048e-13,9.609034763208199e-28
500,370,0.0,1.1269394335554467e-13,3.4021177134603176e-28,1.1269394335554467e-13,3.4021177134603176e-28
500,371,0.0,7.080731219438856e-14,1.1921167190023268e-28,7.080731219438856e-14,1.1921167190023268e-28
500,372,0.0,4.4269912766300405e-14,4.133953138477574e-29,4.4269912766300405e-14,4.133953138477574e-29
500,373,0.0,2.7540837871840322e-14,1.4186219885386656e-29,2.7540837871840322e-14,1.4186219885386656e-29
500,374,0.0,1.7047792567088285e-14,4.81724578995818e-30,1.7047792567088285e-14,4.81724578995818e-30
500,375,0.0,1.049943575195962e-14,1.6185945854261558e-30,1.049943575195962e-14,1.6185945854261558e-30
500,376,0.0,6.4336070940754146e-15,5.380966041975091e-31,6.4336070940754146e-15,5.380966041975091e-31
500,377,0.0,3.922089575471299e-15,1.769866814867464e-31,3.922089575471299e-15,1.769866814867464e-31
500,378,0.0,2.3786918061260923e-15,5.759090429330894e-32,2.3786918061260923e-15,5.759090429330894e-32
500,379,0.0,1.4351572501784835e-15,1.853849689651912e-32,1.4351572501784835e-15,1.853849689651912e-32
500,380,0.0,8.61358692716628e-16,5.9030476959993274e-33,8.61358692716628e-16,5.9030476959993274e-33
500,381,0.0,5.142497170820649e-16,1.8592276207865484e-33,5.142497170820649e-16,1.8592276207865484e-33
500,382,0.0,3.0538760566281667e-16,5.791834734911495e-34,3.0538760566281667e-16,5.791834734911495e-34
500,383,0.0,1.8038380749268952e-16,1.7844295005733538e-34,1.8038380749268952e-16,1.7844295005733538e-34
500,384,0.0,1.059725945172155e-16,5.436933634558772e-35,1.059725945172155e-16,5.436933634558772e-35
500,385,0.0,6.191845803549755e-17,1.6381410431403408e-35,6.191845803549755e-17,1.6381410431403408e-35
500,386,0.0,3.597969702645576e-17,4.8804720197168066e-36,3.597969702645576e-17,4.8804720197168066e-36
500,387,0.0,2.0791484771170984e-17,1.4376584244129365e-36,2.0791484771170984e-17,1.4376584244129365e-36
500,388,0.0,1.1947678542164915e-17,4.186994895842127e-37,1.1947678542164915e-17,4.186994895842127e-37
500,389,0.0,6.8270095941106984e-18,1.2055100985458566e-37,6.8270095941106984e-18,1.2055100985458566e-37
500,390,0.0,3.878867355989598e-18,3.4310672035524846e-38,3.878867355989598e-18,3.4310672035524846e-38
500,391,0.0,2.1912138723643193e-18,9.65261873122337e-39,2.1912138723643193e-18,9.65261873122337e-39
500,392,0.0,1.2306867796345038e-18,2.6840189839368794e-39,1.2306867796345038e-18,2.6840189839368794e-39
500,393,0.0,6.871795438213611e-19,7.37593003219359e-40,6.871795438213611e-19,7.37593003219359e-40
500,394,0.0,3.814426965989066e-19,2.0031079021437796e-40,3.814426965989066e-19,2.0031079021437796e-40
500,395,0.0,2.1047509498272062e-19,5.375428800689544e-41,2.1047509498272062e-19,5.375428800689544e-41
500,396,0.0,1.154409348649355e-19,1.4253030910924127e-41,1.154409348649355e-19,1.4253030910924127e-41
500,397,0.0,6.293344094135352e-20,3.733791472886339e-42,6.293344094135352e-20,3.733791472886339e-42
500,398,0.0,3.409886042398564e-20,9.66282717857211e-43,3.409886042398564e-20,9.66282717857211e-43
500,399,0.0,1.836151930409632e-20,2.470196421590357e-43,1.836151930409632e-20,2.470196421590357e-43
500,400,0.0,9.825636958267207e-21,6.237245964515123e-44,9.825636958267207e-21,6.237245964515123e-44
500,401,0.0,5.224786040303885e-21,1.5554229337944806e-44,5.224786040303885e-21,1.5554229337944806e-44
500,402,0.0,2.7606012657691646e-21,3.830519165314775e-45,2.7606012657691646e-21,3.830519165314775e-45
500,403,0.0,1.4492296862347502e-21,9.314910129053133e-46,1.4492296862347502e-21,9.314910129053133e-46
500,404,0.0,7.558565958308655e-22,2.2365006993022112e-46,7.558565958308655e-22,2.2365006993022112e-46
500,405,0.0,3.916334566432127e-22,5.301334990938119e-47,3.916334566432127e-22,5.301334990938119e-47
500,406,0.0,2.015705797733917e-22,1.2404601579782549e-47,2.015705797733917e-22,1.2404601579782549e-47
500,407,0.0,1.0305035393164014e-22,2.864944836608202e-48,1.0305035393164014e-22,2.864944836608202e-48
500,408,0.0,5.232557457339095e-23,6.5303889657985346e-49,5.232557457339095e-23,6.5303889657985346e-49
500,409,0.0,2.6386819844566188e-23,1.4689383492752561e-49,2.6386819844566188e-23,1.4689383492752561e-49
500,410,0.0,1.3213994127335022e-23,3.260326580097961e-50,1.3213994127335022e-23,3.260326580097961e-50
500,411,0.0,6.570822908281891e-24,7.139401270290039e-51,6.570822908281891e-24,7.139401270290039e-51
500,412,0.0,3.244200326630169e-24,1.5422493035328943e-51,3.244200326630169e-24,1.5422493035328943e-51
500,413,0.0,1.5902320411394515e-24,3.2861486370679917e-52,1.5902320411394515e-24,3.2861486370679917e-52
500,414,0.0,7.738200115172374e-25,6.905674672100049e-53,7.738200115172374e-25,6.905674672100049e-53
500,415,0.0,3.737719298338632e-25,1.4310554742189842e-53,3.737719298338632e-25,1.4310554742189842e-53
500,416,0.0,1.7919267375342596e-25,2.9240316179928723e-54,1.7919267375342596e-25,2.9240316179928723e-54
500,417,0.0,8.52587794094157e-26,5.890135633369619e-55,8.52587794094157e-26,5.890135633369619e-55
500,418,0.0,4.025506755017609e-26,1.1695723865299908e-55,4.025506755017609e-26,1.1695723865299908e-55
500,419,0.0,1.8859087871475216e-26,2.2889006132577078e-56,1.8859087871475216e-26,2.2889006132577078e-56
500,420,0.0,8.765855727776893e-27,4.414308325567396e-57,8.765855727776893e-27,4.414308325567396e-57
500,421,0.0,4.0419877715882335e-27,8.388234347870119e-58,4.0419877715882335e-27,8.388234347870119e-58
500,422,0.0,1.8487359689966555e-27,1.570309273653062e-58,1.8487359689966555e-27,1.570309273653062e-58
500,423,0.0,8.386577636128829e-28,2.8956057528367284e-59,8.386577636128829e-28,2.8956057528367284e-59
500,424,0.0,3.772888188823568e-28,5.258529315293205e-60,3.772888188823568e-28,5.258529315293205e-60
500,425,0.0,1.683023374445015e-28,9.403487716760721e-61,1.683023374445015e-28,9.403487716760721e-61
500,426,0.0,7.44354095056204e-29,1.6555436121059684e-61,7.44354095056204e-29,1.6555436121059684e-61
500,427,0.0,3.263523514300502e-29,2.8690919741405284e-62,3.263523514300502e-29,2.8690919741405284e-62
500,428,0.0,1.4182552920044462e-29,4.893544722249106e-63,1.4182552920044462e-29,4.893544722249106e-63
500,429,0.0,6.108344764985975e-30,8.212942191188376e-64,6.108344764985975e-30,8.212942191188376e-64
500,430,0.0,2.6069529810233127e-30,1.3560904548237157e-64,2.6069529810233127e-30,1.3560904548237157e-64
500,431,0.0,1.1023524467017936e-30,2.202467096001599e-65,1.1023524467017936e-30,2.202467096001599e-65
