horizon,lambda,k,p_path_count,p_empirical,p_rare_event_pmf,abs_diff_emp_vs_pc,abs_diff_pc_vs_rare
10000,100.0,5,1.9685860209114064e-36,0.0,3.1000633133506905e-36,1.9685860209114064e-36,1.131477292439284e-36
10000,100.0,6,3.312460821364327e-35,0.0,5.166772188917794e-35,3.312460821364327e-35,1.8543113675534675e-35
10000,100.0,7,4.777017813750272e-34,0.0,7.381103127025527e-34,4.777017813750272e-34,2.604085313275255e-34
10000,100.0,8,6.02736603684152e-33,0.0,9.226378908781944e-33,6.02736603684152e-33,3.1990128719404235e-33
10000,100.0,9,6.759308803675824e-32,0.0,1.0251532120868825e-31,6.759308803675824e-32,3.492223317193001e-32
10000,100.0,10,6.821439823909764e-31,0.0,1.0251532120868872e-30,6.821439823909764e-31,3.4300922969591076e-31
10000,100.0,11,6.257684466577499e-30,0.0,9.319574655335209e-30,6.257684466577499e-30,3.0618901887577096e-30
10000,100.0,12,5.261617014928997e-29,0.0,7.766312212779403e-29,5.261617014928997e-29,2.504695197850406e-29
10000,100.0,13,4.083374572219921e-28,0.0,5.974086317522633e-28,4.083374572219921e-28,1.8907117453027116e-28
10000,100.0,14,2.9423276950427685e-27,0.0,4.267204512516099e-27,2.9423276950427685e-27,1.3248768174733303e-27
10000,100.0,15,1.9785915395566272e-26,0.0,2.844803008344111e-26,1.9785915395566272e-26,8.66211468787484e-27
10000,100.0,16,1.2472371542093408e-25,0.0,1.7780018802150602e-25,1.2472371542093408e-25,5.307647260057195e-26
10000,100.0,17,7.398939838052179e-25,0.0,1.0458834589500274e-24,7.398939838052179e-25,3.0598947514480947e-25
10000,100.0,18,4.144984085496584e-24,0.0,5.810463660833557e-24,4.144984085496584e-24,1.6654795753369726e-24
10000,100.0,19,2.1996401457491382e-23,0.0,3.058138768859747e-23,2.1996401457491382e-23,8.584986231106087e-24
10000,100.0,20,1.1088186007421307e-22,0.0,1.5290693844298886e-22,1.1088186007421307e-22,4.20250783687758e-23
10000,100.0,21,5.322755957437458e-22,0.0,7.281282782999437e-22,5.322755957437458e-22,1.9585268255619787e-22
10000,100.0,22,2.4387411248143787e-21,0.0,3.309673992272466e-21,2.4387411248143787e-21,8.709328674580872e-22
10000,100.0,23,1.0686762821148819e-20,0.0,1.4389886922923796e-20,1.0686762821148819e-20,3.703124101774977e-21
10000,100.0,24,4.487450869701068e-20,0.0,5.99578621788491e-20,4.487450869701068e-20,1.5083353481838417e-20
10000,100.0,25,1.808759994993752e-19,0.0,2.3983144871539556e-19,1.808759994993752e-19,5.895544921602037e-20
10000,100.0,26,7.009472008606179e-19,0.0,9.224286489053682e-19,7.009472008606179e-19,2.2148144804475037e-19
