horizon,x,empirical_density,analytical_cauchy_density_scale_n,abs_diff
10,-155.0,0.00013422274898319936,0.00013194192173421375,2.2808272489856067e-06
10,-145.0,0.00015093727998865438,0.0001506792360633329,2.5804392532149294e-07
10,-135.0,0.00016714531005455015,0.00017370252997751196,6.5572199229618116e-06
10,-125.0,0.00020411987864237487,0.00020242282110256957,1.6970575398052984e-06
10,-115.0,0.00024160094816975887,0.00023888171571016185,2.7192324595970213e-06
10,-105.0,0.00028161452239493906,0.00028612124600790173,4.506723612962668e-06
10,-95.0,0.0003484726464167591,0.00034883275198223634,3.6010556547723437e-07
10,-85.0,0.00044470782493301526,0.00043455274564340026,1.0155079289614994e-05
10,-75.0,0.0005470210147239823,0.0005559998011943942,8.978786470411888e-06
10,-65.0,0.0007531668971245941,0.0007359766154538514,1.7190281670742763e-05
10,-55.0,0.0010281969073052631,0.0010185916357881302,9.605271517132983e-06
10,-45.0,0.0014860737566668185,0.001497928876159015,1.1855119492196588e-05
10,-35.0,0.0024707115831699867,0.0024023387636512503,6.837281951873643e-05
10,-25.0,0.004589911514285859,0.00439048118874194,0.00019943032554391865
10,-15.0,0.010386308266601835,0.009794150344116638,0.000592157922485197
10,-5.0,0.02531643646198964,0.025464790894703257,0.00014835443271361826
10,5.0,0.02540710013017074,0.025464790894703257,5.7690764532516287e-05
10,15.0,0.010305774617211915,0.009794150344116638,0.0005116242730952777
10,25.0,0.0045240663921431576,0.00439048118874194,0.00013358520340121718
10,35.0,0.0024626075681370386,0.0024023387636512503,6.0268804485788356e-05
10,45.0,0.0015797764304852785,0.001497928876159015,8.18475543262634e-05
10,55.0,0.0010499764477063106,0.0010185916357881302,3.1384811918180443e-05
10,65.0,0.0007562059027619496,0.0007359766154538514,2.022928730809829e-05
10,75.0,0.0005941256021029918,0.0005559998011943942,3.812580090859765e-05
10,85.0,0.0004355908080209489,0.00043455274564340026,1.038062377548628e-06
10,95.0,0.0003474596445376406,0.00034883275198223634,1.3731074445957436e-06
10,105.0,0.00029630304964215707,0.00028612124600790173,1.0181803634255336e-05
10,115.0,0.00025679597635653613,0.00023888171571016185,1.791426064637428e-05
10,125.0,0.00020513288052149338,0.00020242282110256957,2.7100594189238077e-06
10,135.0,0.00016157379971939848,0.00017370252997751196,1.2128730258113477e-05
10,145.0,0.0001620803006589577,0.0001506792360633329,1.1401064595624824e-05
10,155.0,0.0001240927301920145,0.00013194192173421375,7.849191542199242e-06
10,165.0,0.00012054722361509981,0.00011649035175985022,4.056871855249593e-06
10,175.0,0.00010535219542832252,0.00010359963748862188,1.7525579397006453e-06
10,185.0,9.978068509317084e-05,9.273412561800165e-05,7.046559475169196e-06
10,195.0,8.661166066463053e-05,8.349111768755166e-05,3.1205429770788778e-06
10,205.0,6.888412778005703e-05,7.556317772908978e-05,6.679049949032752e-06
10,215.0,6.685812402182005e-05,6.871233376876216e-05,1.8542097469421043e-06
10,225.0,6.787112590093855e-05,6.275207219000309e-05,5.119053710935455e-06
10,235.0,6.179311462622763e-05,5.75345478868126e-05,4.258566739415027e-06
10,245.0,5.824760804931293e-05,5.2941353211441276e-05,5.306254837871657e-06
10,255.0,4.153307704385791e-05,4.887675795528455e-05,7.3436809114266424e-06
10,265.0,4.862409019768731e-05,4.5262692667442685e-05,3.361397530244627e-06
10,275.0,4.102657610429867e-05,4.203498001766797e-05,1.0084039133692984e-06
10,285.0,4.406558174165413e-05,3.914047171027245e-05,4.925110031381682e-06
