horizon,k,p_convolution_exact,p_convolution_empirical,p_path_count,abs_diff_exact,abs_diff_empirical
500,160,1.5499249799853285e-16,5.2162486830898326e-17,1.5499249799853285e-16,0.0,1.0283001116763452e-16
500,161,3.273133498105662e-16,1.1148666530637528e-16,3.273133498105662e-16,0.0,2.1582668450419094e-16
500,162,6.84933491270259e-16,2.3611262274942483e-16,6.84933491270259e-16,0.0,4.488208685208341e-16
500,163,1.420291534045077e-15,4.95518527658228e-16,1.420291534045077e-15,0.0,9.24773006386849e-16
500,164,2.918525896177994e-15,1.0305226620929714e-15,2.9185258961779934e-15,3.944304526105059e-31,1.888003234085022e-15
500,165,5.94318000676246e-15,2.123853107432582e-15,5.943180006762459e-15,7.888609052210118e-31,3.819326899329877e-15
500,166,1.1993766881117013e-14,4.337832632759537e-15,1.1993766881117011e-14,1.5777218104420236e-30,7.655934248357474e-15
500,167,2.3987533762234025e-14,8.780401667114875e-15,2.3987533762234022e-14,3.1554436208840472e-30,1.5207132095119148e-14
500,168,4.75467187072853e-14,1.7614119225353008e-14,4.75467187072853e-14,0.0,2.993259948193229e-14
500,169,9.340538822969657e-14,3.502062617309837e-14,9.340538822969656e-14,1.262177448353619e-29,5.838476205659818e-14
500,170,1.8186578531782098e-13,6.901040494067542e-14,1.8186578531782093e-13,5.048709793414476e-29,1.1285538037714551e-13
500,171,3.509690593852685e-13,1.3478575683460666e-13,3.509690593852685e-13,0.0,2.1618330255066184e-13
500,172,6.713303519636822e-13,2.6092942002349625e-13,6.713303519636822e-13,0.0,4.104009319401859e-13
500,173,1.2728113031450159e-12,5.006824697683965e-13,1.2728113031450159e-12,0.0,7.721288333766194e-13
500,174,2.392007449013909e-12,9.522971543048594e-13,2.392007449013909e-12,0.0,1.4397102947090498e-12
500,175,4.455968162163054e-12,1.795409977218767e-12,4.455968162163053e-12,8.077935669463161e-28,2.6605581849442864e-12
