horizon,k,p_path_count,p_empirical,abs_diff
500,596,5.701627362691867e-277,0.0,5.701627362691867e-277
500,597,3.5017733661967047e-276,0.0,3.5017733661967047e-276
500,598,2.1322747916235963e-275,0.0,2.1322747916235963e-275
500,599,1.2873837559907425e-274,0.0,1.2873837559907425e-274
500,600,7.707711798989765e-274,0.0,7.707711798989765e-274
500,601,4.576542444423591e-273,0.0,4.576542444423591e-273
500,602,2.695164303317692e-272,0.0,2.695164303317692e-272
500,603,1.574378070787226e-271,0.0,1.574378070787226e-271
500,604,9.123224405328439e-271,0.0,9.123224405328439e-271
500,605,5.244957155187807e-270,0.0,5.244957155187807e-270
500,606,2.991766927647858e-269,0.0,2.991766927647858e-269
500,607,1.6933355173674199e-268,0.0,1.6933355173674199e-268
500,608,9.510957330371887e-268,0.0,9.510957330371887e-268
500,609,5.301603104582543e-267,0.0,5.301603104582543e-267
500,610,2.9331014393877757e-266,0.0,2.9331014393877757e-266
500,611,1.6107135634115928e-265,0.0,1.6107135634115928e-265
500,612,8.78040880910258e-265,0.0,8.78040880910258e-265
500,613,4.751705841169481e-264,0.0,4.751705841169481e-264
500,614,2.5530266026019774e-263,0.0,2.5530266026019774e-263
500,615,1.3619592544690626e-262,0.0,1.3619592544690626e-262
500,616,7.214517556144147e-262,0.0,7.214517556144147e-262
500,617,3.7950345934565066e-261,0.0,3.7950345934565066e-261
500,618,1.9825299674312667e-260,0.0,1.9825299674312667e-260
500,619,1.0286062004693604e-259,0.0,1.0286062004693604e-259
500,620,5.300698815262098e-259,0.0,5.300698815262098e-259
500,621,2.713316665422098e-258,0.0,2.713316665422098e-258
500,622,1.3796834505296079e-257,0.0,1.3796834505296079e-257
500,623,6.969438958167977e-257,0.0,6.969438958167977e-257
500,624,3.4977025615452677e-256,0.0,3.4977025615452677e-256
500,625,1.7440601780631494e-255,0.0,1.7440601780631494e-255
500,626,8.640920009261942e-255,0.0,8.640920009261942e-255
500,627,4.254067601130912e-254,0.0,4.254067601130912e-254
500,628,2.0812305898227824e-253,0.0,2.0812305898227824e-253
500,629,1.0118882104999832e-252,0.0,1.0118882104999832e-252
500,630,4.8895185285524975e-252,0.0,4.8895185285524975e-252
500,631,2.34825462145402e-251,0.0,2.34825462145402e-251
500,632,1.1209693030447838e-250,0.0,1.1209693030447838e-250
500,633,5.319064220627958e-250,0.0,5.319064220627958e-250
500,634,2.508955110183041e-249,0.0,2.508955110183041e-249
500,635,1.1764933901478583e-248,0.0,1.1764933901478583e-248
500,636,5.484631835447831e-248,0.0,5.484631835447831e-248
500,637,2.5420784822825806e-247,0.0,2.5420784822825806e-247
500,638,1.171482141139633e-246,0.0,1.171482141139633e-246
500,639,5.367957380330884e-246,0.0,5.367957380330884e-246
500,640,2.4458522308476237e-245,0.0,2.4458522308476237e-245
500,641,1.1082045340133155e-244,0.0,1.1082045340133155e-244
500,642,4.993426397405866e-244,0.0,4.993426397405866e-244
500,643,2.237621219164819e-243,0.0,2.237621219164819e-243
500,644,9.972488577641668e-243,0.0,9.972488577641668e-243
500,645,4.4204772129334335e-242,0.0,4.4204772129334335e-242
500,646,1.9489589313009153e-241,0.0,1.9489589313009153e-241
500,647,8.547185945470253e-241,0.0,8.547185945470253e-241
500,648,3.7286299652508147e-240,0.0,3.7286299652508147e-240
500,649,1.6180783782576391e-239,0.0,1.6180783782576391e-239
500,650,6.985414213818602e-239,0.0,6.985414213818602e-239
500,651,3.000164433674212e-238,0.0,3.000164433674212e-238
500,652,1.281964302576069e-237,0.0,1.281964302576069e-237
500,653,5.450071882756748e-237,0.0,5.450071882756748e-237
500,654,2.3053727530079426e-236,0.0,2.3053727530079426e-236
500,655,9.703081372765218e-236,0.0,9.703081372765218e-236
500,656,4.063726904435332e-235,0.0,4.063726904435332e-235
500,657,1.6935662122154698e-234,0.0,1.6935662122154698e-234
