horizon,k,p_empirical,p_hypergeometric,p_iid_path_count,abs_diff_emp_vs_hyper,abs_diff_emp_vs_iid
99,80,0.0,0.0,1.691265307040656e-10,0.0,1.691265307040656e-10
99,81,0.0,0.0,3.9671655350337093e-11,0.0,3.9671655350337093e-11
99,82,0.0,0.0,8.708412150074224e-12,0.0,8.708412150074224e-12
99,83,0.0,0.0,1.7836506813404034e-12,0.0,1.7836506813404034e-12
99,84,0.0,0.0,3.3974298692196855e-13,0.0,3.3974298692196855e-13
99,85,0.0,0.0,5.995464475093958e-14,0.0,5.995464475093958e-14
99,86,0.0,0.0,9.76005844782691e-15,0.0,9.76005844782691e-15
99,87,0.0,0.0,1.458399538181128e-15,0.0,1.458399538181128e-15
99,88,0.0,0.0,1.9887266429740977e-16,0.0,1.9887266429740977e-16
99,89,0.0,0.0,2.4579767497434075e-17,0.0,2.4579767497434075e-17
99,90,0.0,0.0,2.7310852774925324e-18,0.0,2.7310852774925324e-18
99,91,0.0,0.0,2.70107335136609e-19,0.0,2.70107335136609e-19
99,92,0.0,0.0,2.348759435970751e-20,0.0,2.348759435970751e-20
99,93,0.0,0.0,1.767883446429563e-21,0.0,1.767883446429563e-21
99,94,0.0,0.0,1.128436242401809e-22,0.0,1.128436242401809e-22
99,95,0.0,0.0,5.939138117904839e-24,0.0,5.939138117904839e-24
99,96,0.0,0.0,2.474640882460201e-25,0.0,2.474640882460201e-25
99,97,0.0,0.0,7.653528502454158e-27,0.0,7.653528502454158e-27
