horizon,k,p_convolution_exact,p_convolution_empirical,abs_diff
500,1880,3.1581211523468095e-05,3.9863361412516845e-05,8.28214988904875e-06
500,1881,2.8868355461005318e-05,3.6516585312151544e-05,7.648229851146226e-06
500,1882,2.63701976839195e-05,3.342769349141343e-05,7.057495807493928e-06
500,1883,2.4071477089244627e-05,3.057895233740862e-05,6.507475248163991e-06
500,1884,2.1957861378555848e-05,2.7953658862610976e-05,5.9957974840551275e-06
500,1885,2.0015904028537902e-05,2.553609683848196e-05,5.520192809944058e-06
500,1886,1.82330021027037e-05,2.3311493443266974e-05,5.078491340563275e-06
500,1887,1.65973549968391e-05,2.1265976549769713e-05,4.668621552930611e-06
500,1888,1.5097924198356331e-05,1.938653276521377e-05,4.28860856685744e-06
500,1889,1.3724394128013101e-05,1.7660966322199654e-05,3.9365721941865525e-06
500,1890,1.246713412140773e-05,1.6077858907281644e-05,3.610724785873914e-06
500,1891,1.131716159729707e-05,1.4626530501841404e-05,3.309368904544333e-06
500,1892,1.0266106450103985e-05,1.3297001298738562e-05,3.0308948486345768e-06
500,1893,9.306176694980035e-06,1.2079954747680503e-05,2.7737780527004675e-06
500,1894,8.430125385458192e-06,1.0966701772377683e-05,2.5365763869194916e-06
500,1895,7.631218816058028e-06,9.949146193335946e-06,2.3179273772779183e-06
500,1896,6.9032060151762715e-06,9.019751381577606e-06,2.116545366401335e-06
500,1897,6.240289527190986e-06,8.171508160669858e-06,1.931218633478872e-06
500,1898,5.637097476907396e-06,7.3979039671593045e-06,1.7608064902519082e-06
500,1899,5.088656904254852e-06,6.692893272849698e-06,1.6042363685948454e-06
500,1900,4.590368352483575e-06,6.050869266298316e-06,1.4605009138147407e-06
500,1901,4.137981688981026e-06,5.466636785424265e-06,1.328655096443239e-06
500,1902,3.7275731342042186e-06,4.935386488197207e-06,1.2078133539929887e-06
500,1903,3.355523471079029e-06,4.452670243983951e-06,1.097146772904922e-06
500,1904,3.0184974045223647e-06,4.0143777242478056e-06,9.958803197254409e-07
500,1905,2.713424038470118e-06,3.6167141678960057e-06,9.032901294258877e-07
500,1906,2.437478435914968e-06,3.2561792936270136e-06,8.187008577120455e-07
500,1907,2.1880642259454167e-06,2.929547329115361e-06,7.414831031699443e-07
500,1908,1.9627972206034917e-06,2.6338481247597383e-06,6.710509041562467e-07
500,1909,1.7594900035163124e-06,2.366349317983139e-06,6.068593144668266e-07
500,1910,1.5761374516798878e-06,2.1245395126852843e-06,5.484020610053965e-07
500,1911,1.4109031514565978e-06,1.9061124373807023e-06,4.952092859241045e-07
500,1912,1.2621066697662024e-06,1.7089520447849894e-06,4.4684537501878704e-07
500,1913,1.1282116415802585e-06,1.5311185151115246e-06,4.029068735312661e-07
500,1914,1.007814635148951e-06,1.3708351250869421e-06,3.630204899379912e-07
500,1915,8.996347568760789e-07,1.2264759446623736e-06,3.2684118778629475e-07
500,1916,8.025039583919254e-07,1.0965543235662625e-06,2.940503651743371e-07
500,1917,7.153580091358316e-07,9.797121301918609e-07,2.643541210560293e-07
500,1918,6.372280986325066e-07,8.747097058178277e-07,2.374816071853211e-07
500,1919,5.672330336116319e-07,7.804164978042832e-07,2.1318346419265126e-07
500,1920,5.045719961635399e-07,6.958023361709435e-07,1.912303400074036e-07
500,1921,4.485178302302407e-07,6.199293188314484e-07,1.714114886012077e-07
500,1922,3.9841082488750217e-07,5.519442717127148e-07,1.5353344682521267e-07
500,1923,3.536529640678884e-07,4.910717510152492e-07,1.3741878694736078e-07
500,1924,3.1370261359552627e-07,4.366075559561051e-07,1.229049423605788e-07
500,1925,2.780696176408243e-07,3.87912721467928e-07,1.0984310382710371e-07
500,1926,2.4631077794836456e-07,3.4440796149375e-07,9.809718354538547e-08
500,1927,2.1802569043561532e-07,3.055685347073215e-07,8.75428442717062e-08
500,1928,1.9285291499676616e-07,2.709195056932848e-07,7.806659069651866e-08
500,1929,1.704664555685322e-07,2.400313758318115e-07,6.956492026327934e-08
500,1930,1.5057252871766782e-07,2.1251605934078184e-07,6.194353062311402e-08
500,1931,1.3290660018839055e-07,1.880231811283743e-07,5.5116580939983764e-08
500,1932,1.1723066999786486e-07,1.6623667429406924e-07,4.9006004296204374e-08
