series,forecaster,rmse
S2: AR(1) near unit,YW-AR(2),1.056817633300881
S2: AR(1) near unit,YW-AR(2),0.9031362659655542
S2: AR(1) near unit,YW-AR(2),0.9238786094379594
S2: AR(1) near unit,YW-AR(2),0.9690096213131955
S2: AR(1) near unit,YW-AR(2),1.1215170504218062
S2: AR(1) near unit,Naive,0.9956469694955583
S2: AR(1) near unit,Naive,1.018809522841872
S2: AR(1) near unit,Naive,1.0939608961637732
S2: AR(1) near unit,Naive,1.0816739184419923
S2: AR(1) near unit,Naive,0.9713996667182381
S2: AR(1) near unit,Naive,0.842522619548375
S2: AR(1) near unit,Naive,0.9968510883470476
S2: AR(1) near unit,Naive,1.078992481722254
S2: AR(1) near unit,Naive,0.9444153261388628
S2: AR(1) near unit,Naive,0.988696460187736
S2: AR(1) near unit,Naive,0.9565147295628352
S2: AR(1) near unit,Naive,1.0311428036841745
S2: AR(1) near unit,Naive,0.9462515443888183
S2: AR(1) near unit,Naive,1.0917188903668058
S2: AR(1) near unit,Naive,0.8530764229472481
S2: AR(1) near unit,Naive,1.058966063502261
S2: AR(1) near unit,Naive,0.9161453037867563
S2: AR(1) near unit,Naive,0.9384710081209363
S2: AR(1) near unit,Naive,0.9571952632051322
S2: AR(1) near unit,Naive,1.1239286615222157
S3: Random walk,PT-univ,0.984494498114119
S3: Random walk,PT-univ,0.9514260683084776
S3: Random walk,PT-univ,1.0356239742428797
S3: Random walk,PT-univ,0.9496926582555768
S3: Random walk,PT-univ,1.0079220867033436
S3: Random walk,PT-univ,1.0330346019675276
S3: Random walk,PT-univ,1.0983597235417255
S3: Random walk,PT-univ,0.9730768493342896
S3: Random walk,PT-univ,1.0073766412084666
S3: Random walk,PT-univ,1.0028963475289996
S3: Random walk,PT-univ,0.8669771157596196
S3: Random walk,PT-univ,0.9999025627940964
S3: Random walk,PT-univ,1.018454052911358
S3: Random walk,PT-univ,1.0814261723264647
S3: Random walk,PT-univ,1.0488317898219157
S3: Random walk,PT-univ,1.0720795658722595
S3: Random walk,PT-univ,1.0294404434205267
S3: Random walk,PT-univ,1.058355942664243
S3: Random walk,PT-univ,0.9989294138426809
S3: Random walk,PT-univ,0.9825204507587332
S3: Random walk,PT-univ-quad,0.9875930909878156
S3: Random walk,PT-univ-quad,0.9379026752483428
S3: Random walk,PT-univ-quad,1.0312822037782632
S3: Random walk,PT-univ-quad,0.9721094364496623
S3: Random walk,PT-univ-quad,1.049514193188833
S3: Random walk,PT-univ-quad,1.0267064490715605
S3: Random walk,PT-univ-quad,1.0886452198428103
S3: Random walk,PT-univ-quad,0.9808448546176061
S3: Random walk,PT-univ-quad,1.0099086569481437
S3: Random walk,PT-univ-quad,1.0242913157221594
S3: Random walk,PT-univ-quad,0.8612163399403354
S3: Random walk,PT-univ-quad,0.9913769491814449
S3: Random walk,PT-univ-quad,1.0204743561134102
S3: Random walk,PT-univ-quad,1.093478612023773
S3: Random walk,PT-univ-quad,1.0460528896787786
S3: Random walk,PT-univ-quad,1.0829919358361888
S3: Random walk,PT-univ-quad,1.0583274688293969
S3: Random walk,PT-univ-quad,1.0696886949753228
S3: Random walk,PT-univ-quad,0.9992473649839089
S3: Random walk,PT-univ-quad,0.9890958571581944
S3: Random walk,OLS-AR(1),0.9857707171886613
S3: Random walk,OLS-AR(1),0.949951817865291
S3: Random walk,OLS-AR(1),1.034856200602372
S3: Random walk,OLS-AR(1),0.9537172814184149
S3: Random walk,OLS-AR(1),1.0088197909572916
S3: Random walk,OLS-AR(1),1.0325106730104812
S3: Random walk,OLS-AR(1),1.0993968532106393
S3: Random walk,OLS-AR(1),0.9711228776485125
S3: Random walk,OLS-AR(1),1.0074182258154982
S3: Random walk,OLS-AR(1),1.0025882485494142
S3: Random walk,OLS-AR(1),0.8745712427310085
S3: Random walk,OLS-AR(1),0.994244667361341
S3: Random walk,OLS-AR(1),1.0133915430720477
S3: Random walk,OLS-AR(1),1.0796624224466076
S3: Random walk,OLS-AR(1),1.047451858040842
S3: Random walk,OLS-AR(1),1.0687420848419138
S3: Random walk,OLS-AR(1),1.0281075216155402
S3: Random walk,OLS-AR(1),1.0572279299962932
S3: Random walk,OLS-AR(1),0.9981116042899785
S3: Random walk,OLS-AR(1),0.980444528275868
S3: Random walk,OLS-AR(2),0.9844944981141187
S3: Random walk,OLS-AR(2),0.9514260683084772
S3: Random walk,OLS-AR(2),1.0356239742428794
S3: Random walk,OLS-AR(2),0.9496926582555766
S3: Random walk,OLS-AR(2),1.0079220867033458
S3: Random walk,OLS-AR(2),1.0330346019675274
S3: Random walk,OLS-AR(2),1.098359723541726
S3: Random walk,OLS-AR(2),0.9730768493342885
S3: Random walk,OLS-AR(2),1.0073766412084664
S3: Random walk,OLS-AR(2),1.0028963475290003
S3: Random walk,OLS-AR(2),0.8669771157596208
S3: Random walk,OLS-AR(2),0.9999025627940962
S3: Random walk,OLS-AR(2),1.0184540529113562
S3: Random walk,OLS-AR(2),1.0814261723264649
S3: Random walk,OLS-AR(2),1.048831789821917
S3: Random walk,OLS-AR(2),1.0720795658722588
S3: Random walk,OLS-AR(2),1.0294404434205269
S3: Random walk,OLS-AR(2),1.0583559426642442
S3: Random walk,OLS-AR(2),0.9989294138426816
S3: Random walk,OLS-AR(2),0.9825204507587318
S3: Random walk,YW-AR(2),0.9874168911628203
S3: Random walk,YW-AR(2),0.9981734823918147
S3: Random walk,YW-AR(2),1.0182372877044938
S3: Random walk,YW-AR(2),0.9890013052588573
S3: Random walk,YW-AR(2),1.2056338540690275
S3: Random walk,YW-AR(2),1.030723498052386
S3: Random walk,YW-AR(2),1.1005259211255833
S3: Random walk,YW-AR(2),0.9862080453640459
S3: Random walk,YW-AR(2),1.0082913077298103
S3: Random walk,YW-AR(2),1.1404950374405234
S3: Random walk,YW-AR(2),0.908827311772303
S3: Random walk,YW-AR(2),1.0100515221697037
S3: Random walk,YW-AR(2),1.028605664229471
S3: Random walk,YW-AR(2),1.170466331866072
